PAGARIYA SUPER SHOPEE|||||||||||||
Kot Bazar, DHARANGAON|||||||||||||
ITEM Amount wise Stock Statement From Date 29/01/2026 To 29/01/2026|||||||||||||
Item Name|Size|MRP|Op.Stock|Op.Amt.|Stock In|In Amt.|Stock Out|Out Amt.|Cl.Stock|Cl. Amt.|Profit/Loss|G.P.%|Closing Rate
 CARBONIX DUO PARMANAT MARKER|1|0|2|35|||||2|35|||17.5
0 NO SEV|200 GM|0|45|1268.55|||1|33.33|44|1240.36|5.14|15.4215|28.19
0 NO SEV|500 GM|0|18|1242.9|||2|152.38|16|1104.8|14.28|9.3713|69.05
16 IN WIFER|1|0|1|66.1|||||1|66.1|||66.1
2 IN 1|90ML|0|5|319.93|||||5|319.93|||63.986
2 IN 1 DUST BROOM|1|0|2|428.58|||||2|428.58|||214.29
20-20 BUTTER COOKIES|150 GM|0|-1|-15.13|||||-1|-15.13|||15.13
20-20 BUTTER COOKIES|52.5 GM|0|-1|-7.56|||||-1|-7.56|||7.56
20-20 BUTTER COOKIES|600 GM|0|5|302.66|||||5|302.66|||60.532
20-20 CASHEW BISCUIT|150 GM|0|11|206|||||11|206|||18.7272727272727
20-20 CASHEW BISCUIT|150 GM|0|-1|-22.47|||||-1|-22.47|||22.47
20-20 CASHEW BISCUIT|200 GM|0|44|1122.45|||||44|1122.45|||25.5102272727273
20-20 CASHEW BISCUIT|50 GM|0|50|382.65|||||50|382.65|||7.653
20-20 CASHEW BISCUIT|70 GM|0|43|315.6|||||43|315.6|||7.33953488372093
20-20 COOKIES 200GM||0|2|37.83|||||2|37.83|||18.915
20-20 GOLD|1 KG|0|4|378.33|||||4|378.33|||94.5825
20-20 GOLD|1 KG|0|-1|-93.26|||||-1|-93.26|||93.26
20-20 GOLD|1 KG|0|9|1089.79|||||9|1089.79|||121.087777777778
20-20 GOLD|52.5 GM|0|114|940.31|||2|18.1|112|923.81|1.6|8.8398|8.24830357142857
20-20 GOLD|600 GM|0|29.5|2132.24|||||29.5|2132.24|||72.2793220338983
20-20 GOLD|600 GM|0|82.5|5931.48|||||82.5|5931.48|||71.8967272727273
20-20 GOLD CHOCO CHIPS|400GM|0|9|503.59|||||9|503.59|||55.9544444444444
20-20 GOLD CHOCO CHIPS|43.75 GM|0|2|14.92|||||2|14.92|||7.46
20-20 NICE 150 GM||0|36|776.88|||||36|776.88|||21.58
20-20 NICE 75GM||0|7|53.17|||||7|53.17|||7.59571428571429
24 CARAT BALL PEN|1 PCS|0|4|27.12|||||4|27.12|||6.78
24 CARAT GLOW BLEACH|42 GM|0|2|67.8|||||2|67.8|||33.9
3 CHAVI BHAGAR|500 GM|0|39.3|2358|||5|325|34.3|2058|25|7.6923|60
3 D BUS||0|1|150|||||1|150|||150
3 D PASTA|100 GM|0|4||||||4||||0
3 STAR LUNCH BOX|1  PCS|0|2|167.81|||||2|167.81|||83.905
3D PASTA|1 KG|0|5|275|||||5|275|||55
5 STAR|40 GM|0|10|151.02|||||10|151.02|||15.102
5 STAR NUTTY|CHOC|0|1|7.4|||||1|7.4|||7.4
5 STAR RS 10||0|72|623.52|||||72|623.52|||8.66
